01_004_Comrade_S1_L001_R1	S101_L001_R1
32_086_N18049_S32_L002_R1	S132_L002_R1
32_086_N18049_S32_L002_R2	S132_L002_R2
32_086_N18049_S32_L003_R1	S132_L003_R1
32_086_N18049_S32_L003_R2	S132_L003_R2
32_086_N18049_S32_L004_R1	S132_L004_R1
32_086_N18049_S32_L004_R2	S132_L004_R2
33_087_N18050_S33_L001_R1	S133_L001_R1
33_087_N18050_S33_L001_R2	S133_L001_R2
33_087_N18050_S33_L002_R1	S133_L002_R1
33_087_N18050_S33_L002_R2	S133_L002_R2
33_087_N18050_S33_L003_R1	S133_L003_R1
33_087_N18050_S33_L003_R2	S133_L003_R2
33_087_N18050_S33_L004_R1	S133_L004_R1
33_087_N18050_S33_L004_R2	S133_L004_R2
34_090_N18055_S34_L001_R1	S134_L001_R1
34_090_N18055_S34_L001_R2	S134_L001_R2
34_090_N18055_S34_L002_R1	S134_L002_R1
34_090_N18055_S34_L002_R2	S134_L002_R2
34_090_N18055_S34_L003_R1	S134_L003_R1
34_090_N18055_S34_L003_R2	S134_L003_R2
34_090_N18055_S34_L004_R1	S134_L004_R1
34_090_N18055_S34_L004_R2	S134_L004_R2
35_092_N19002_S35_L001_R1	S135_L001_R1
35_092_N19002_S35_L001_R2	S135_L001_R2
35_092_N19002_S35_L002_R1	S135_L002_R1
35_092_N19002_S35_L002_R2	S135_L002_R2
35_092_N19002_S35_L003_R1	S135_L003_R1
35_092_N19002_S35_L003_R2	S135_L003_R2
35_092_N19002_S35_L004_R1	S135_L004_R1
35_092_N19002_S35_L004_R2	S135_L004_R2
36_093_N19003_S36_L001_R1	S136_L001_R1
36_093_N19003_S36_L001_R2	S136_L001_R2
36_093_N19003_S36_L002_R1	S136_L002_R1
36_093_N19003_S36_L002_R2	S136_L002_R2
36_093_N19003_S36_L003_R1	S136_L003_R1
36_093_N19003_S36_L003_R2	S136_L003_R2
36_093_N19003_S36_L004_R1	S136_L004_R1
36_093_N19003_S36_L004_R2	S136_L004_R2
37_096_N19006_S37_L001_R1	S137_L001_R1
37_096_N19006_S37_L001_R2	S137_L001_R2
37_096_N19006_S37_L002_R1	S137_L002_R1
37_096_N19006_S37_L002_R2	S137_L002_R2
37_096_N19006_S37_L003_R1	S137_L003_R1
37_096_N19006_S37_L003_R2	S137_L003_R2
37_096_N19006_S37_L004_R1	S137_L004_R1
37_096_N19006_S37_L004_R2	S137_L004_R2
38_097_N19007_S38_L001_R1	S138_L001_R1
38_097_N19007_S38_L001_R2	S138_L001_R2
38_097_N19007_S38_L002_R1	S138_L002_R1
38_097_N19007_S38_L002_R2	S138_L002_R2
38_097_N19007_S38_L003_R1	S138_L003_R1
38_097_N19007_S38_L003_R2	S138_L003_R2
38_097_N19007_S38_L004_R1	S138_L004_R1
38_097_N19007_S38_L004_R2	S138_L004_R2
39_098_N19008_S39_L001_R1	S139_L001_R1
39_098_N19008_S39_L001_R2	S139_L001_R2
39_098_N19008_S39_L002_R1	S139_L002_R1
39_098_N19008_S39_L002_R2	S139_L002_R2
39_098_N19008_S39_L003_R1	S139_L003_R1
39_098_N19008_S39_L003_R2	S139_L003_R2
39_098_N19008_S39_L004_R1	S139_L004_R1
39_098_N19008_S39_L004_R2	S139_L004_R2
40_103_N19013_S40_L001_R1	S140_L001_R1
40_103_N19013_S40_L001_R2	S140_L001_R2
40_103_N19013_S40_L002_R1	S140_L002_R1
40_103_N19013_S40_L002_R2	S140_L002_R2
40_103_N19013_S40_L003_R1	S140_L003_R1
40_103_N19013_S40_L003_R2	S140_L003_R2
40_103_N19013_S40_L004_R1	S140_L004_R1
40_103_N19013_S40_L004_R2	S140_L004_R2
41_104_N19014_S41_L001_R1	S141_L001_R1
41_104_N19014_S41_L001_R2	S141_L001_R2
41_104_N19014_S41_L002_R1	S141_L002_R1
41_104_N19014_S41_L002_R2	S141_L002_R2
41_104_N19014_S41_L003_R1	S141_L003_R1
41_104_N19014_S41_L003_R2	S141_L003_R2
41_104_N19014_S41_L004_R1	S141_L004_R1
41_104_N19014_S41_L004_R2	S141_L004_R2
42_106_N19016_S42_L001_R1	S142_L001_R1
42_106_N19016_S42_L001_R2	S142_L001_R2
42_106_N19016_S42_L002_R1	S142_L002_R1
42_106_N19016_S42_L002_R2	S142_L002_R2
42_106_N19016_S42_L003_R1	S142_L003_R1
42_106_N19016_S42_L003_R2	S142_L003_R2
42_106_N19016_S42_L004_R1	S142_L004_R1
42_106_N19016_S42_L004_R2	S142_L004_R2
43_109_N19019_S43_L001_R1	S143_L001_R1
43_109_N19019_S43_L001_R2	S143_L001_R2
43_109_N19019_S43_L002_R1	S143_L002_R1
43_109_N19019_S43_L002_R2	S143_L002_R2
43_109_N19019_S43_L003_R1	S143_L003_R1
43_109_N19019_S43_L003_R2	S143_L003_R2
